	chao1	observed_features	shannon_entropy	simpson_e	faith_pd
CT1	131.5	124	4.853945836923823	0.106516987064935	12.21656114039512
CT10	226.05555555555557	221	5.808589215778258	0.0791315368275671	19.05275359501861
CT11	173.75	165	5.73771268250567	0.1701182641758358	14.79380816213343
CT12	211.66666666666663	199	6.0373811134587445	0.1990002173360974	17.3039883092798
CT13	287.2307692307692	263	5.803081452290443	0.0880682056266206	23.31516926886344
CT14	214.8823529411765	211	6.0718655798889625	0.1617152298687874	16.46082594513636
CT15	290.5	279	6.682331834867706	0.2141500502288942	19.72402840627593
CT16	262.0357142857143	253	5.92377216944978	0.0879970588003862	18.11983906480578
CT17	200.3636363636364	188	5.677447493231689	0.1281186697846446	16.26832523550932
CT18	257.4761904761905	242	6.108149426323958	0.1562911377811031	18.92749354460239
CT19	283.3157894736842	270	6.526993864420475	0.159098995658952	21.41715939855392
CT2	208.25	206	6.104575561074203	0.1714592828234038	18.66583337391848
CT20	209.05555555555557	204	5.7084804508535285	0.1254472910977193	15.4941704128223
CT21	145.14285714285714	140	5.461043339195685	0.168932638988653	13.52912822257315
CT22	218.4375	204	5.7508837708478975	0.1423452595430084	14.49867834836003
CT23	250.5	245	6.507833306290818	0.2076198908326308	17.81076683350907
CT24	262.0	249	6.114294628721079	0.1416394310329324	18.79599618161058
CT25	159.33333333333334	157	5.461543332085506	0.1014862744045845	12.10311015789666
CT26	274.7894736842105	259	6.457893217421009	0.1708222848753569	22.32278254899921
CT27	178.9090909090909	168	5.201907076946194	0.0857900197710993	15.65198357049396
CT28	200.7692307692308	189	5.456129433471025	0.100116281055795	16.2398464946452
CT29	146.33333333333334	144	5.156974137105868	0.1043134147785771	12.5030466936039
CT3	134.3	134	5.554119494656837	0.1826710643824239	12.51802717827544
CT30	233.15384615384616	220	6.062494975098724	0.1525988065064224	18.3436875172064
CT31	267.05263157894734	259	6.506943571658032	0.1868034845275904	18.37034875754106
CT32	217.4375	214	6.0447024307156125	0.1320645996419136	17.41265406555709
CT33	242.0	228	6.200681771921777	0.1549134340012878	19.02588589817734
CT34	253.9375	232	6.267152984557768	0.1605825823035835	18.55065901115861
CT35	225.0	218	6.051244166439728	0.1399296185362997	17.27251386061223
CT36	229.95454545454547	223	6.3676450675428375	0.2146900913536824	17.32288219831754
CT37	286.0434782608696	276	6.432955775063671	0.1319365370479907	19.61893963046976
CT38	226.63636363636363	218	5.941506316985413	0.1380381246502597	16.30289961606931
CT39	152.75	149	5.2378319044046	0.1295820494527448	13.76450667757548
CT4	194.4	183	5.641900164257504	0.1377452520465101	18.7049891119489
CT40	170.5625	161	5.221731074744316	0.1180862806053158	15.3105732331285
CT41	150.0	139	5.246690467110216	0.1067027739748494	14.62052838920491
CT42	326.1428571428572	279	5.460178584784326	0.0594972437919662	19.83221025687533
CT43	319.42857142857144	307	5.269716997291979	0.0226361635169974	23.77371575463205
CT44	235.2	225	5.650156127239069	0.0630557000319282	17.95220405902013
CT45	167.0909090909091	163	5.498683683636375	0.1401926859305567	16.17965980276229
CT46	238.66666666666663	233	5.039319042789569	0.0491551187709475	21.42716728138257
CT47	190.3	187	5.483501845402733	0.1048722548441936	16.83989641892041
CT48	155.375	144	5.09753460212979	0.113776354062402	12.78570833758979
CT49	242.1	207	5.963596648641868	0.1369065639863055	14.99098583377747
CT5	148.05555555555554	145	4.790545797294462	0.0816611858128584	13.9441520322195
CT50	83.0	78	2.9685757276627287	0.041900529443693	9.517853722417856
CT51	157.0	146	4.621259867762229	0.0719341494999199	15.34531160036415
CT52	249.05263157894737	241	5.925402703042733	0.0912484170612414	19.94532387011018
CT53	247.83333333333331	235	6.269744692625545	0.1729596418047328	19.83365905792787
CT54	111.0	107	4.3828927847203065	0.0868290657310614	12.14578241468592
CT55	86.75	83	4.279291296142612	0.1195488014956492	8.483182800154452
CT56	80.2	79	3.929264263289395	0.0926587038914584	9.475045378754194
CT57	127.42857142857144	126	5.463767084460535	0.208696203857791	12.87200889812618
CT6	145.83333333333334	140	4.815167732898981	0.1078106904649422	14.48732841242114
CT7	203.83333333333331	198	5.747510945119426	0.1312318515535531	16.13432473572152
CT8	212.12	206	5.83756196237132	0.1364771369542337	15.844733256304
CT9	243.73076923076923	234	6.052146391025417	0.1528961063679375	18.37892010392387
PD1	249.04761904761904	210	5.529230995790516	0.1134186513796471	14.79443738478485
PD10	54.142857142857146	49	3.069717514769206	0.1141772915296777	5.658095135615881
PD100	156.0	137	5.217613436601708	0.1498885595047823	12.52005481491164
PD101	292.7	268	6.273900933256905	0.1493086769363961	19.78240438959572
PD102	207.2142857142857	195	6.111892963517863	0.2004805840368297	14.45571975720269
PD103	292.1363636363636	253	5.792019622644306	0.0915778823523525	19.21817515653136
