	shannon_entropy
CT1	4.853945836923823
CT10	5.808589215778258
CT11	5.73771268250567
CT12	6.0373811134587445
CT13	5.803081452290443
CT14	6.0718655798889625
CT15	6.682331834867706
CT16	5.92377216944978
CT17	5.677447493231689
CT18	6.108149426323958
CT19	6.526993864420475
CT2	6.104575561074203
CT20	5.7084804508535285
CT21	5.461043339195685
CT22	5.7508837708478975
CT23	6.507833306290818
CT24	6.114294628721079
CT25	5.461543332085506
CT26	6.457893217421009
CT27	5.201907076946194
CT28	5.456129433471025
CT29	5.156974137105868
CT3	5.554119494656837
CT30	6.062494975098724
CT31	6.506943571658032
CT32	6.0447024307156125
CT33	6.200681771921777
CT34	6.267152984557768
CT35	6.051244166439728
CT36	6.3676450675428375
CT37	6.432955775063671
CT38	5.941506316985413
CT39	5.2378319044046
CT4	5.641900164257504
CT40	5.221731074744316
CT41	5.2466904671102155
CT42	5.460178584784326
CT43	5.269716997291979
CT44	5.650156127239069
CT45	5.498683683636375
CT46	5.039319042789569
CT47	5.483501845402733
CT48	5.09753460212979
CT49	5.963596648641868
CT5	4.790545797294462
CT50	2.9685757276627287
CT51	4.621259867762229
CT52	5.925402703042733
CT53	6.269744692625545
CT54	4.3828927847203065
CT55	4.2792912961426115
CT56	3.929264263289395
CT57	5.463767084460535
CT6	4.815167732898981
CT7	5.747510945119426
CT8	5.83756196237132
CT9	6.052146391025417
PD1	5.529230995790516
PD10	3.0697175147692066
PD100	5.217613436601708
PD101	6.273900933256905
PD102	6.111892963517863
PD103	5.792019622644306
PD104	4.688311314143054
PD105	6.575711182197918
PD106	5.991393439877598
PD107	5.496645477428462
PD108	5.292806674634933
PD109	5.5284739577694255
PD11	5.606787708216996
PD110	4.386866143417224
PD111	4.886966704848927
PD112	5.617979861706493
PD113	6.682233733833772
PD114	4.8078584204521375
PD115	5.364330732106879
PD116	3.6513116158935395
PD117	4.061437512443554
PD118	6.4345704713082625
PD119	3.932198802860493
PD12	2.6214695715227703
PD120	5.535149422988888
PD121	4.865706284934849
PD122	5.675651920410154
PD123	4.790677472171465
PD124	3.5641571555431577
PD125	4.853019635542394
PD126	6.014644107132624
PD127	5.018781241227487
PD128	4.771647952996499
PD129	5.288675130663992
PD13	3.4195499382341175
PD130	4.199546782679152
PD131	5.983883594130433
PD132	4.173278801632735
PD133	3.374691795826293
PD134	5.7131020670326045
PD135	5.125893525775733
PD136	4.627541041362142
PD137	5.2578952778508485
PD138	3.7385986816030923
PD139	4.929561512260548
PD14	4.1355696331461616
PD140	3.670973162309018
PD141	5.960428017103292
PD142	3.6339898723744217
PD143	5.241201905877759
PD144	5.154871815155852
PD145	4.395589652278032
PD146	6.035928830610676
PD147	5.181249732720225
PD148	5.174884303075141
PD149	4.867761582300168
PD15	5.470050463714561
PD150	5.067201210822582
PD151	3.85934100060788
PD152	3.991381672002759
PD153	4.933757954301273
PD154	3.2056766023142544
PD155	3.686337679178955
PD156	5.250250202664393
PD157	4.114443770981232
PD158	5.550515724783029
PD159	4.678991381565235
PD16	4.447603124681432
PD160	5.422403123365197
PD161	5.106586972509137
PD162	3.940253370619349
PD163	4.533393665662097
PD164	5.274169915967449
PD165	4.379621630873178
PD166	7.143332598434253
PD167	3.8562932476384257
PD168	5.633626639924115
PD169	4.807034663308577
PD17	4.640783645358852
PD170	5.897906046172542
PD171	3.8128572834708883
PD172	4.871261828301426
PD173	3.1549110500630975
PD174	5.693556947529803
PD175	4.245788628055557
PD176	5.464279969083925
PD177	5.529399002540397
PD178	4.986134455125829
PD179	5.742340164542792
PD18	4.244157952711447
PD180	4.948570760535757
PD181	5.098259166375161
PD182	3.8756485683835895
PD183	4.588709737327861
PD184	6.4768473689006205
PD185	4.464057617746001
PD186	5.444219087049053
PD187	4.1827846410094525
PD188	4.931058074312368
PD189	5.263687006697375
PD19	4.585710232186761
PD190	5.753528496100848
PD191	4.821664173673523
PD192	4.453173803193934
PD193	4.709413090466362
PD194	3.394978040083883
PD195	4.975035518506363
PD196	6.247933149790112
PD197	5.076581110330151
PD198	6.485393804465549
PD199	5.638647362187312
PD2	5.652617427871654
PD20	4.357188259875507
PD200	5.3608754244968315
PD201	4.6277212394453775
PD202	4.874821750176908
PD203	4.688054786676615
PD204	4.687753066341715
PD205	5.251386637815919
PD206	4.329640849592051
PD207	5.752512227860479
PD208	5.3602916693826534
PD209	3.7864965084571782
PD21	3.8143736565392614
PD210	4.8017028668217705
PD211	4.814833531179616
PD212	5.709961263143331
PD213	4.9244087790201965
PD214	4.999720392118522
PD215	5.705942296594839
PD216	3.5937243917480894
PD217	4.043236908503133
PD218	5.4868549285018124
PD219	3.914209862588529
PD220	5.4578551813406415
PD221	5.03567551801169
PD222	5.670215830847959
PD223	5.608122617515269
PD224	6.070658943791754
PD225	4.45608825150333
PD226	3.352571433177377
PD227	4.095605784460676
PD228	5.293892160235276
PD229	4.385572080549624
PD23	3.6473866468222074
PD230	4.667365678987426
PD231	5.461887876574453
PD232	5.331610547432633
PD233	5.866267367368096
PD234	4.728015142252578
PD235	4.965163863408511
PD236	4.936673100461606
PD237	5.8489706537579815
PD238	4.4549399451670935
PD239	5.514223884485228
PD24	4.897074153401844
PD240	4.759312841152591
PD241	4.278434036417529
PD242	4.885071652970703
PD243	4.9704207256992925
PD244	5.029056871020109
PD245	3.4978445101739024
PD246	5.285639299255581
PD247	3.3437573382138788
PD248	3.317399976039179
PD249	4.14246778455151
PD25	4.594076297098656
PD250	4.8053594567356654
PD251	2.526689184259563
PD252	3.577429654324282
PD253	4.637166853318167
PD254	4.621322497230008
PD255	4.035887888597691
PD256	4.816938261555913
PD257	4.6559788723714455
PD258	3.0244498944362834
PD259	4.472550752635596
PD26	4.573758942471878
PD260	4.785989038037961
PD261	1.627729315135759
PD27	3.9680662120794374
PD28	4.8060929430392445
PD29	4.386354145387315
PD3	4.688918290814593
PD30	3.551129012427094
PD31	5.248188269429956
PD32	2.248470034061786
PD33	5.362656859703114
PD34	4.4905995136927155
PD35	3.5344866853983468
PD36	4.102189732212049
PD37	4.879313036652386
PD38	4.607239239328364
PD39	5.5154239343674005
PD4	4.523408542504973
PD40	5.5840957124085655
PD41	2.348277109876187
PD42	4.34329570719335
PD43	3.6651149755614894
PD44	3.622556260282265
PD45	6.178685696614237
PD46	4.2649753777238555
PD47	3.4774650588937703
PD48	4.704150222597593
PD49	4.868352484928167
PD5	5.946842760710044
PD50	1.5354260046180532
PD51	4.767149134197794
PD52	4.357847485790731
PD53	4.149869403625849
PD54	3.3055239277802135
PD55	2.367174449343931
PD56	3.7956312709831206
PD57	4.153701216615607
PD58	4.807094690932905
PD59	4.729449181183605
PD6	4.379575388996415
